3831,"23 de Enero",57467
3832,"Alberto Ravell",57467
3833,"Alta Florida",57467
3834,"Alta Vista",57467
3835,"Artígas",57467
3838,"Bella Vista",57467
3839,"Bello Monte",57467
3843,"Casalta II",57467
3844,"Casalta III",57467
3845,"Catia",57467
3846,"Cementerio",57467
3847,"Chacaito",57467
3848,"Chapellín",57467
3850,"Coche",57467
3854,"Colinas de La Mariposa",57467
3855,"Colinas de Las Acacias",57467
3856,"Colinas de Los Caobos",57467
3857,"Colinas de Los Chaguaramos",57467
3858,"Colinas de Santa Mónica",57467
3859,"Colinas de Vista Alegre",57467
3863,"Cútira",57467
3865,"Diego de Lozada",57467
3867,"El Bosque",57467
3868,"El Conde",57467
3870,"El Junko Country Club",57467
3872,"El Paraíso",57467
3873,"El Pinar",57467
3875,"El Silencio",57467
3878,"Guaicaipuro",57467
3883,"Industrial La Yaguara",57467
3884,"Industrial San Martín",57467
3885,"La Campiña",57467
3888,"La Florida",57467
3892,"La Paz",57467
3893,"La Quebradita",57467
3896,"Las Delicias",57467
3899,"Las Fuentes",57467
3902,"Las Lomitas",57467
3903,"Las Palmas",57467
3904,"Loira",57467
3908,"Los Caobos",57467
3912,"Los Chaguaramos",57467
3913,"Los Flores de Catia",57467
3917,"Los Rosales",57467
3918,"Luis Hurtado",57467
3919,"Maripérez",57467
3920,"Miranda",57467
3921,"Montalbán",57467
3923,"Nueva Caracas",57467
3924,"Nueva Granada",57467
3927,"Parque Carabobo",57467
3928,"Parque Central",57467
3929,"Pedro Camejo",57467
3930,"Pérez Bonalde",57467
3933,"Prados De Maria",57467
3934,"Propatria",57467
3935,"Quinta Crespo",57467
3936,"Sabana Grande",57467
3937,"San Agustín Del Norte",57467
3938,"San Agustín Del Sur",57467
3940,"San Antonio Sabana Grande",57467
3941,"San Bernardino",57467
3942,"San José Del Ávila",57467
3943,"Santa Mónica",57467
3944,"Santa Rosa",57467
3945,"Sarría",57467
3949,"Urdaneta",57467
3950,"Valle Abajo",57467
3952,"Vista Alegre",57467
3953,"Washington",57467
3954,"Santa Mónica",57214
3958,"Charallavito",57214
3959,"Chuao",57214
3961,"Colinas de Bello Monte",57214
3962,"Colinas de La Trinidad",57214
3963,"Colinas de Valle Arriba",57214
