56774,"Cordero","Táchira"
57035,"Tía Juana","Zulia"
57344,"Palo Negro","Aragua"
57390,"San Antonio de Los Altos","Miranda"
56989,"Concepción","Zulia"
57467," Caracas - Libertador","Distrito Federal"
56826," San Cristóbal","Táchira"
56640,"Ocumare del Tuy","Miranda"
57284,"Cubiro","Lara"
57384," Barquisimeto","Lara"
57647,"Charallave","Miranda"
56814,"Lobatera","Táchira"
57198,"Pozuelos","Anzoátegui"
57596,"San José De Guanipa(El Tigrito","Anzoátegui"
57547,"Cabudare","Lara"
57055,"El Pilar (Los Robles)","Nueva Esparta"
57049,"Santa Ana","Nueva Esparta"
57347,"San Diego","Carabobo"
56940,"Naiguatá","Vargas"
57201,"La Colonia Tovar","Aragua"
56869,"Escuque","Trujillo"
57272," Barinas","Barinas"
56631," Los Teques","Miranda"
57009," Maracaibo","Zulia"
56700,"Acarigua","Portuguesa"
57364,"Mapire","Anzoátegui"
57481," Caracas - Chacao","Miranda"
57656,"El Yaque","Nueva Esparta"
57556,"Puerto la Cruz","Anzoátegui"
56794,"Palmira","Táchira"
57278,"Jadacaquiva","Falcón"
57026,"San Francisco","Zulia"
57032,"Santa Rita","Zulia"
56932,"Caraballeda","Vargas"
57023,"El Bajo","Zulia"
57046,"La Guardia","Nueva Esparta"
57358,"El Guapo","Miranda"
57281,"Ortiz","Guárico"
57215,"Guarenas","Miranda"
57209,"Tinaquillo","Cojedes"
57238," Caracas - Sucre","Miranda"
57146,"Río Chico","Miranda"
56995,"Ciudad  Ojeda","Zulia"
57158,"El Consejo","Aragua"
57587,"Araira","Miranda"
57052,"Pedro González","Nueva Esparta"
57003,"Carrasquero","Zulia"
57593,"Montalbán","Carabobo"
57413,"Boca de Aroa","Falcón"
57342,"Choroní","Aragua"
57058,"Porlamar","Nueva Esparta"
56795,"Capacho Nuevo","Táchira"
57110,"Cúa","Miranda"
56895,"Santa Ana","Trujillo"
56918," Trujillo","Trujillo"
57505,"Santa Bárbara","Barinas"
57482,"San Mateo","Aragua"
57313," Valencia","Carabobo"
56935,"El Junko","Vargas"
57668,"San Félix","Bolívar"
56832,"San Josesito","Táchira"
57519,"Cagua","Aragua"
57027,"Sierra Maestra","Zulia"
57047,"El Valle del Espíritu Santo","Nueva Esparta"
57359,"Barinitas","Barinas"
57196,"Bejuma","Carabobo"
57147,"Santa Lucía","Miranda"
56798,"La Grita","Táchira"
57084,"Tacarigua De Mamporal","Miranda"
